Unnamed: 0,CHK_ACCT,Duration,Credit History,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,Present Resident,Age,Other installment,Num_Credits,Job,Credit classification,Credit Rating,kfold
0,0,6,2,0.3689564080722511,4,2,4,5,4,0.3494107248458537,1,2,5,1,0,1
1,1,48,4,0.3756121477401155,1,0,2,0,2,0.3358536211828917,0,1,1,0,1,1
2,2,12,2,0.3715784698496021,1,3,2,5,3,0.3461303165564136,0,1,5,1,0,1
3,0,42,4,0.3765807975860016,1,3,2,5,4,0.34517508014159337,0,1,1,1,0,1
4,0,24,3,0.3748931578752899,1,0,3,5,4,0.3469859524413701,1,2,1,0,1,1
5,2,36,4,0.3770430529742826,4,0,2,5,4,0.3421814165124942,0,1,5,1,0,1
6,2,24,4,0.3728240466222038,6,2,3,5,4,0.3469859524413701,0,1,1,1,0,1
7,1,36,4,0.3761515323055674,1,0,2,5,2,0.3421814165124942,0,1,0,1,0,1
8,2,12,4,0.373126964073755,3,3,2,1,4,0.3484628968282321,0,1,5,1,0,1
9,1,30,2,0.3751544778018381,1,4,4,4,2,0.3392810405265025,1,2,0,0,1,1
10,1,12,4,0.36943828503254783,1,1,3,0,1,0.33771074028991616,0,1,1,0,1,1
11,0,48,4,0.3744411929551307,1,1,3,0,4,0.33712787535535405,0,1,1,0,1,1
12,1,12,4,0.3703098267790166,1,0,1,0,1,0.3358536211828917,0,1,1,1,0,1
13,0,24,2,0.3690766293230549,1,2,4,5,4,0.3482928352666628,1,2,5,0,1,1
14,0,15,4,0.3698084931671903,1,0,2,0,4,0.3392810405265025,0,1,1,1,0,1
15,0,24,4,0.36939123134951934,5,0,4,0,2,0.34104578678506664,0,1,5,0,1,1
16,2,24,2,0.37218678706338176,4,2,4,5,4,0.3469859524413701,1,2,1,1,0,1
17,0,30,0,0.37666089134628705,4,1,2,5,3,0.33771074028991616,1,3,1,1,0,1
18,1,24,4,0.3780989775104781,1,2,4,0,2,0.3449182069595081,0,1,0,0,1,1
19,2,24,4,0.3735752201607362,6,2,3,5,2,0.3406342426867164,0,1,1,1,0,1
20,2,9,2,0.3716545476987803,1,0,4,5,4,0.3459016192610386,1,3,1,1,0,1
21,0,6,4,0.3725471192818807,6,0,2,5,3,0.3449182069595081,0,1,1,1,0,1
22,0,10,2,0.3718604045139319,1,1,1,5,3,0.3459016192610386,1,2,5,1,0,1
23,1,12,2,0.37093299983256417,5,1,3,5,4,0.3449182069595081,0,1,1,1,0,1
24,2,10,2,0.3715234111785468,4,0,2,4,1,0.3382620256541887,1,2,1,1,0,1
25,0,6,4,0.3697125329455467,1,0,1,5,2,0.34253071065961543,1,1,5,1,0,1
26,2,6,0,0.3635938518126721,1,2,4,4,4,0.3435037699753355,0,1,5,1,0,1
27,3,12,1,0.3633507191875537,3,0,3,0,3,0.3443799326500556,1,2,1,1,0,1
28,1,7,4,0.3721714278142589,1,0,3,5,2,0.34181819093076593,0,1,1,1,0,1
29,0,60,3,0.37609558226143697,1,2,3,5,4,0.34879213507952683,1,2,1,0,1,1
30,1,18,4,0.3711876097417005,3,1,3,4,3,0.34253071065961543,1,1,1,1,0,1
31,0,24,4,0.3741819227472804,1,0,2,5,2,0.33878461744725724,1,1,1,1,0,1
32,1,18,4,0.3755613483431114,5,0,2,5,2,0.3402040022840905,1,2,1,1,0,1
33,2,12,2,0.3693251248335489,4,2,4,5,4,0.34775908412850337,0,1,5,1,0,1
34,3,12,4,0.3700337227297274,1,1,4,0,1,0.34144002131489304,1,1,0,1,0,1
35,1,45,2,0.3747988764387932,1,1,4,5,2,0.33771074028991616,1,2,5,0,1,1
36,2,48,2,0.3757049401893292,1,0,1,5,3,0.3406342426867164,1,1,1,1,0,1
37,3,18,4,0.3715865549518354,1,0,4,5,2,0.34286699087144074,1,1,1,0,1,1
38,3,10,4,0.369177928462446,1,0,2,5,2,0.34286699087144074,0,1,1,1,0,1
39,1,9,4,0.364020513161443,1,0,4,5,3,0.33712787535535405,0,1,1,1,0,1
40,2,30,4,0.37202828440551,6,2,4,5,2,0.3402040022840905,1,1,0,1,0,1
41,1,12,4,0.3689113927058737,6,0,3,1,1,0.3382620256541887,0,1,1,1,0,1
42,1,18,3,0.3757584848568016,1,0,2,5,4,0.3449182069595081,0,1,5,1,0,1
43,0,30,2,0.375748871545562,5,3,1,4,4,0.33712787535535405,1,2,1,1,0,1
44,0,48,2,0.3757238464546387,1,2,4,0,4,0.3479410895948148,1,2,5,0,1,1
45,2,11,2,0.3697756743669429,1,1,4,0,4,0.3421814165124942,1,2,0,1,0,1
46,2,36,4,0.3719671718461336,6,2,4,5,4,0.3435037699753355,0,1,1,1,0,1
47,0,6,4,0.3696380998613368,6,4,1,0,2,0.3365101139409041,0,1,4,1,0,1
48,2,11,2,0.3762869391696622,1,0,1,5,4,0.3435037699753355,1,2,5,1,0,1
49,2,12,4,0.3715316217535276,5,0,4,0,2,0.3392810405265025,0,1,1,1,0,1
50,1,24,3,0.37202828440551,4,1,4,5,2,0.3397535150166297,1,1,5,1,0,1
